gene.name	time	gene.regulation	mean
CDCA5	240	down-regulated	-0.152579729977588
CDCA5	300	down-regulated	-0.506039449163864
CDCA5	360	down-regulated	-1.02216322105358
CDCA5	420	down-regulated	-1.35466185496338
CDCA5	480	down-regulated	-1.57077702575893
CDCA5	600	down-regulated	-2.13749422345232
CDCA5	720	down-regulated	-2.7523524612679
MAOA	0	up-regulated	0
MAOA	30	up-regulated	-0.0481450707949798
MAOA	60	up-regulated	0.171006505111701
MAOA	120	up-regulated	0.214975249102828
MAOA	180	up-regulated	0.196780072493906
MAOA	240	up-regulated	0.362706944161595
MAOA	300	up-regulated	0.787800702769511
MAOA	360	up-regulated	1.04593523926384
MAOA	420	up-regulated	1.29615117858795
MAOA	480	up-regulated	1.30147716838837
MAOA	600	up-regulated	2.14913073450973
MAOA	720	up-regulated	2.5383577310287
IFIT1	0	up-regulated	0
IFIT1	30	up-regulated	-0.0458680106495463
IFIT1	60	up-regulated	0.107787167551888
IFIT1	120	up-regulated	0.365774796396497
IFIT1	180	up-regulated	-0.0814250200638526
IFIT1	240	up-regulated	0.51182959739876
IFIT1	300	up-regulated	0.457422235210751
IFIT1	360	up-regulated	0.414477446560886
IFIT1	420	up-regulated	1.3924103626846
IFIT1	480	up-regulated	1.85231290747084
IFIT1	600	up-regulated	1.96217290516796
IFIT1	720	up-regulated	2.70014670103678
SSBP2	0	up-regulated	0
SSBP2	30	up-regulated	-0.0208646771582652
SSBP2	60	up-regulated	0.0338459750375887
SSBP2	120	up-regulated	0.134201393258514
SSBP2	180	up-regulated	0.302327595347406
SSBP2	240	up-regulated	0.354699511690508
SSBP2	300	up-regulated	0.883928281306471
SSBP2	360	up-regulated	1.2461432812429
SSBP2	420	up-regulated	1.81099616588937
SSBP2	480	up-regulated	1.4781073368706
SSBP2	600	up-regulated	2.46179540329692
SSBP2	720	up-regulated	2.4378824861508
CDT1	0	down-regulated	0
CDT1	30	down-regulated	0.106717139002586
CDT1	60	down-regulated	-0.321697146135839
CDT1	120	down-regulated	-0.172194224868021
CDT1	180	down-regulated	0.00417346864581347
CDT1	240	down-regulated	-0.232879550436409
CDT1	300	down-regulated	-0.747112716765789
CDT1	360	down-regulated	-1.06726413377355
CDT1	420	down-regulated	-1.53840237201208
CDT1	480	down-regulated	-1.69350083272355
CDT1	600	down-regulated	-2.29645885100467
CDT1	720	down-regulated	-2.5823569105342
MSH2	0	down-regulated	0
MSH2	30	down-regulated	0.065967372599567
MSH2	60	down-regulated	-0.00351114333932534
MSH2	120	down-regulated	-0.151385959984452
MSH2	180	down-regulated	-0.224906474130735
MSH2	240	down-regulated	-0.485054210290935
MSH2	300	down-regulated	-1.08499714669321
MSH2	360	down-regulated	-1.15936298951527
MSH2	420	down-regulated	-1.71663173404156
MSH2	480	down-regulated	-1.64183024401799
MSH2	600	down-regulated	-2.28698912848519
MSH2	720	down-regulated	-2.47430588481143
PDZD2	0	up-regulated	0
PDZD2	30	up-regulated	-0.00104689262792235
PDZD2	60	up-regulated	0.515129333639352
PDZD2	120	up-regulated	0.399971144567892
PDZD2	180	up-regulated	0.736198160235623
PDZD2	240	up-regulated	1.05922269665122
PDZD2	300	up-regulated	1.4671230835306
PDZD2	360	up-regulated	1.48821603129318
PDZD2	420	up-regulated	2.22970681536997
PDZD2	480	up-regulated	1.91360340243897
PDZD2	600	up-regulated	2.70703169300101
PDZD2	720	up-regulated	2.46554846016026
ACSL1	0	up-regulated	0
ACSL1	30	up-regulated	0.00582449753273906
ACSL1	60	up-regulated	0.386900445832364
ACSL1	120	up-regulated	0.428377783738484
ACSL1	180	up-regulated	0.747758174139634
ACSL1	240	up-regulated	0.89796463272293
ACSL1	300	up-regulated	1.70278579272135
ACSL1	360	up-regulated	1.81038260405218
ACSL1	420	up-regulated	1.91937284345191
ACSL1	480	up-regulated	1.68507542530024
ACSL1	600	up-regulated	2.61001755672855
ACSL1	720	up-regulated	2.61335009932916
DTL	0	down-regulated	0
DTL	30	down-regulated	-0.0220374267628594
DTL	60	down-regulated	-0.348061147803666
DTL	120	down-regulated	-0.389539758871484
DTL	180	down-regulated	-0.476387515427808
DTL	240	down-regulated	-0.619893094118497
DTL	300	down-regulated	-1.01157468919665
DTL	360	down-regulated	-1.20459012651912
DTL	420	down-regulated	-1.82888815314608
DTL	480	down-regulated	-1.93644458110702
DTL	600	down-regulated	-2.45310831802775
DTL	720	down-regulated	-2.59739123774934
MARVELD1	0	up-regulated	0
MARVELD1	30	up-regulated	0.0980697956123207
MARVELD1	60	up-regulated	0.537957576031408
MARVELD1	120	up-regulated	0.52232835598374
MARVELD1	180	up-regulated	0.720973428668186
MARVELD1	240	up-regulated	0.92070880855983
MARVELD1	300	up-regulated	1.57603684288771
MARVELD1	360	up-regulated	1.84605921065887
MARVELD1	420	up-regulated	1.69525414808617
MARVELD1	480	up-regulated	1.50270144506153
MARVELD1	600	up-regulated	2.54475032019874
MARVELD1	720	up-regulated	2.81731591305712
MSH6	0	down-regulated	0
MSH6	30	down-regulated	-0.00957746245407654
MSH6	60	down-regulated	0.00621155353038971
MSH6	120	down-regulated	-0.193817141601414
MSH6	180	down-regulated	-0.0901293255432225
MSH6	240	down-regulated	-0.162425944884437
MSH6	300	down-regulated	-0.778452430724873
MSH6	360	down-regulated	-0.761675583228786
MSH6	420	down-regulated	-1.48690966916082
MSH6	480	down-regulated	-1.55760237972371
MSH6	600	down-regulated	-2.35404225456439
MSH6	720	down-regulated	-2.55915286854938
MCM4	0	down-regulated	0
MCM4	30	down-regulated	-0.00308311221571622
MCM4	60	down-regulated	-0.0100267403003957
MCM4	120	down-regulated	0.34642461355638
MCM4	180	down-regulated	0.184983788232179
MCM4	240	down-regulated	-0.0180569666731359
MCM4	300	down-regulated	-0.53329301670552
MCM4	360	down-regulated	-0.616879614553832
MCM4	420	down-regulated	-1.13977387582691
MCM4	480	down-regulated	-1.27018333865902
