gene.name	t00_rep1	t00_rep2	t00_rep3	t00_rep4	t05_rep1	t05_rep2	t05_rep3	t05_rep4	t1_rep1	t1_rep2	t1_rep3	t1_rep4	t2_rep1	t2_rep2	t2_rep3	t2_rep4	t3_rep1	t3_rep2	t3_rep3	t3_rep4	t4_rep1	t4_rep2	t4_rep3	t4_rep4	t5_rep2	t5_rep3	t5_rep4	t6_rep2	t6_rep3	t6_rep4	t7_rep1	t7_rep2	t7_rep3	t7_rep4	t8_rep1	t8_rep2	t8_rep3	t8_rep4	t10_rep1	t10_rep2	t10_rep3	t10_rep4	t12_rep1	t12_rep2	t12_rep3	t12_rep4	mean	fdr
EIF2S1	3980.45652173913	4006.76086956522	3829.21739130435	3998.4347826087	3966.02173913044	3748.80434782609	3708.80434782609	4107	3591.21739130435	3877.47826086957	4323.73913043478	4302.10869565217	3610.26086956522	3213.47826086957	3518.80434782609	4307.32608695652	3981.78260869565	3348.04347826087	3682.52173913044	4768.80434782609	4438.34782608696	3630.69565217391	4154.41304347826	4486.39130434783	4008.97826086957	4293.96739130435	4987.71739130435	4050.36956521739	4480.65217391304	4083.95652173913	3912.15217391304	3728.95652173913	3890.10869565217	3719.45652173913	3470.89130434783	3278.23913043478	3722.67391304348	4043.09782608696	3551.41304347826	2875.97826086957	3409.17391304348	4384.15217391304	3037.60869565217	3620.30434782609	3937.28260869565	4100.4347826087	3894.96691304348	0.361237401146808
MARCKS	2652.4347826087	3270.84782608696	3275.95652173913	2667.39130434783	2914.23913043478	3399.09782608696	3380.66304347826	2511.54347826087	1979.89130434783	2603.91304347826	2590.25	3181.17391304348	2035.60869565217	2219.78260869565	2208.45652173913	3088.26086956522	2364.0652173913	1998.47826086957	2084.58695652174	3016.26086956522	2431.78260869565	2013.22826086957	2333.51086956522	2826.86956521739	2324.9347826087	2513.76086956522	2573.73913043478	2207.78260869565	2412.39130434783	2520.4347826087	1996.97826086957	2342.25	2581.84782608696	2527.28260869565	2004.82608695652	2034.82608695652	2487.78260869565	2828.10869565217	2490.52173913044	2013.60869565217	2511.54347826087	2431.32608695652	2084.58695652174	2567.89130434783	3061.34782608696	2752.23913043478	2528.65884782609	0.289351888894287
ZMAT3	2164.27173913044	1968.76086956522	2169.76086956522	1987.13043478261	2066.28260869565	1935.59782608696	2029.38043478261	2098.5652173913	1841.94565217391	1828.30434782609	2009.32608695652	2253.98913043478	2087.97826086957	1577.19565217391	1778.95652173913	2131.6847826087	2021.78260869565	1568.53260869565	2004.10869565217	2359.66304347826	2052.08695652174	2050.92391304348	1963.52173913043	2318.25	1996.63043478261	2156.95652173913	2355.47826086957	1794.4347826087	2138.10869565217	2340.97826086957	2079.39130434783	1976.89130434783	2198.36956521739	2233.58695652174	2352.10869565217	1737.89130434783	2076.08695652174	2178.5652173913	1809.8152173913	1866.71739130435	1882.63043478261	2347.78260869565	1690.54347826087	1975.86956521739	2453.89130434783	2595.71739130435	2054.48795652174	0.569879858448712
EIF2A	3396.60869565217	3983.32608695652	3543.86956521739	4320.5	3393.0652173913	3915.41304347826	3805.69565217391	4335.9347826087	3743.79347826087	3582.89130434783	4038.5652173913	3754.91304347826	3883.71739130435	3658.45652173913	4035.54347826087	3646	4074.78260869565	3665.96739130435	3995.5	3593.92391304348	4089.4347826087	3708.80434782609	4060.15217391304	3765.63043478261	3719.45652173913	3872.41304347826	3187.91304347826	3756.82608695652	4080.54347826087	4289.9347826087	3851.91304347826	3743.79347826087	3565.76086956522	4580.39130434783	3594.84782608696	3523.41304347826	4064.10869565217	4583.65217391304	3887.67391304348	3651.10869565217	3959.11956521739	4528.17391304348	3593	4064.10869565217	4395.79347826087	4732.82608695652	3896.07086956522	0.280977609908587
OAT	2528.26086956522	2180	2222.0652173913	2151.46739130435	2179.02173913044	2267.98913043478	2264.58695652174	2157.53260869565	2637.8152173913	2125.21739130435	2365.45652173913	2437.60869565217	2853.38043478261	2520.02173913044	2603.39130434783	2485.07608695652	2821.21739130435	2647.08695652174	2591.29347826087	2502.36956521739	2700.78260869565	2589.15217391304	2432.78260869565	2643.71739130435	2410.80434782609	2441.28260869565	2708.02173913044	2486.21739130435	2460.58695652174	2415.02173913044	2469.19565217391	2432.23913043478	2548.66304347826	2409.38043478261	2761.20652173913	2480.97826086957	2417.60869565217	2259.02173913044	2592.89130434783	2520.4347826087	2576.21739130435	2508.45652173913	2980.13043478261	2268.36956521739	2312.54347826087	2532.19565217391	2476.06002173913	0.294636017734287
ANKRD11	2390.73913043478	2054.19565217391	2610.56521739131	2039.97826086957	2819.83695652174	2112.39130434783	2404.80434782609	2148.78260869565	3223.25	2290.13043478261	2259.02173913044	2065.86956521739	3245.5652173913	3012.75	2848.26086956522	2278.58695652174	2954.80434782609	3225.20652173913	3289.10869565217	2709.30434782609	2856.36956521739	3228.36956521739	2911.95652173913	2701.26086956522	3194.94565217391	3136.75	2764.65217391304	2950.91304347826	2709.30434782609	2424.09782608696	3152.80434782609	3058.76086956522	3404.45652173913	2267.60869565217	3121.23913043478	3619.32608695652	2827.48913043478	2191.54347826087	2903.23913043478	3334.17391304348	3055.01086956522	2587.36956521739	2975.26086956522	2583.08695652174	2608.5	2374.82608695652	2759.27106521739	0.280977609908587
RPL26	2623.63043478261	2402.80434782609	2459.98913043478	1742.60869565217	2444.01086956522	2276.55434782609	2809.34782608696	1500.91304347826	2849.47826086957	2098.5652173913	1956.3152173913	2015.76086956522	2858.60869565217	2577.39130434783	1993.34782608696	2123.73913043478	2192.23913043478	2905.71739130435	1806.96739130435	1873.01086956522	2928.4347826087	2330.03260869565	1923.94565217391	1988.46739130435	1966.02173913044	2048.23913043478	1636.47826086957	2432.23913043478	1842.95652173913	1819.72826086957	2748.97826086957	2041.53260869565	2402.80434782609	1991.36956521739	2187.0652173913	2958	2196	1698.0652173913	2587.36956521739	1720.69565217391	2191.54347826087	1573.63043478261	2004.46739130435	2012.53260869565	2264.02173913044	1626.26086956522	2187.64954347826	0.408220595027462
MBTPS1	4272.15217391304	4751.71739130435	4326.65217391304	3751.72826086957	4473.82608695652	4737.4347826087	4541.15217391304	3700.5652173913	4165.0652173913	4388.84782608696	4006.76086956522	3481.82608695652	4175.11956521739	4705.95652173913	4551.91304347826	3549.28260869565	3777.63043478261	4821.69565217391	4279.8152173913	3468.10869565217	4010.05434782609	4616.89130434783	4087.06521739131	3500.39130434783	4316.3152173913	4022.5652173913	3372.80434782609	4484.89130434783	3855.54347826087	3534.72826086957	4346.65217391304	4590.52173913044	4341	4001.23913043478	4747.52173913044	4776.82608695652	4856.76086956522	3897.67391304348	4478.77173913043	4975.67391304348	4783.41304347826	3749.76086956522	4341	4659.67391304348	4541.15217391304	3654.78260869565	4227.62873913044	0.563639087549767
WIPI2	1710.9347826087	1653.32608695652	1576.76086956522	1235.5	1612.4347826087	1684.58695652174	1794.13043478261	1190.14130434783	1976.20652173913	1563.01086956522	1355.72826086957	1236.47826086957	1992.57608695652	1917.34782608696	1894.23913043478	1295.73913043478	1562.02173913043	1906.82608695652	1821.80434782609	1200	1599.36956521739	1804.54347826087	1530.86956521739	1201.86956521739	1450.65217391304	1499.6847826087	1091.0652173913	1664.29347826087	1398.9347826087	1296.69565217391	1759.15217391304	1643.13043478261	1673.95652173913	1375.73913043478	1805.36956521739	2278.58695652174	1764.3152173913	1282.86956521739	1731.23913043478	2115.3152173913	1993.73913043478	1075.63043478261	2051.41304347826	1697.79347826087	1490.19565217391	1310	1603.61341304348	0.687887951663988
AJUBA	3880	2991.34782608696	3229.94565217391	3178.13043478261	2759.5	2708.02173913044	3239.76086956522	3148.08695652174	3307.14130434783	2376.10869565217	2403.84782608696	2294.69565217391	3430.45652173913	1663.5652173913	1879.66304347826	1583.6847826087	3027.9347826087	1978.52173913043	2036.47826086957	1784.97826086957	2752.23913043478	2374.82608695652	2162.0652173913	2022.54347826087	2175.36956521739	2536.83695652174	1938.26086956522	2331.76086956522	2540.45652173913	2485.56521739131	2415.47826086957	2150.23913043478	2454.52173913044	3202.83695652174	3018.72826086957	2392.14130434783	2589.15217391304	3106.52173913044	2326.29347826087	2389.86956521739	2470.89130434783	2316.82608695652	2699.66304347826	1991.36956521739	2283.47826086957	2796.02173913044	2539.69189130435	0.41262978248215
HPS5	2038.33695652174	1701.8152173913	1771.28260869565	2103.13043478261	1902.8152173913	1819.52173913043	1899.47826086957	2114.02173913044	2070.39130434783	1999.97826086957	2144.90217391304	2037.36956521739	2353.13043478261	2022.54347826087	1962.55434782609	1956.78260869565	2076.52173913044	2092.80434782609	2065.10869565217	1967.38043478261	1973.21739130435	1898.73913043478	2232.89130434783	2123.73913043478	1954.54347826087	2017.65217391304	1987.13043478261	1978.52173913043	2067.28260869565	2053.65217391304	2112.11956521739	2023.39130434783	2068.51086956522	2227.71739130435	2408.84782608696	1758.36956521739	2085.36956521739	2199.25	2055	1913.30434782609	1965.71739130435	2239.91304347826	2149.89130434783	1947.36956521739	2117.91304347826	2417.60869565217	2045.16369565217	0.280674532404896
RBBP5	1484.72826086957	1531.84782608696	1596.16304347826	1836.76086956522	1563.41304347826	1561.04347826087	1453.29347826087	1956.78260869565	1175.17391304348	1437.21739130435	1563.5652173913	1756.65217391304	1291.84782608696	1416.13043478261	1408.57608695652	1503.26086956522	1354.92391304348	1339.39130434783	1454.02173913043	1493.36956521739	1315.03260869565	1378.41304347826	1316.23913043478	1588.15217391304	1443.48913043478	1307.13043478261	1892.54347826087	1463.84782608696	1413.21739130435	1624.71739130435	1426.69565217391	1460.46739130435	1517.47826086957	1641.76086956522	1358.47826086957	1133.52173913043	1446.10869565217	1794.13043478261	1426.4347826087	1314.84782608696	1301.47826086957	1854.28260869565	1188.13043478261	1407.45652173913	1452.35869565217	1697.52173913043	1485.69773913043	0.582780020413721
CHML	1795.17391304348	1891.46739130435	2372.15217391304	3157.11956521739	2505.13043478261	2287.9347826087	2271.15217391304	2956.34782608696	2320.89130434783	2664.51086956522	2857.02173913044	3081.26086956522	2548.66304347826	2418.47826086957	3291.91304347826	3341	3132.45652173913	2396.80434782609	3329.39130434783	3599.02173913044	2787.41304347826	2512.19565217391	3063.65217391304	3199.10869565217	2928.4347826087	3226.21739130435	3550.34782608696	2546.09782608696	3464.34782608696	3410.71739130435	2310.09782608696	1985.39130434783	2396.39130434783	3094.02173913044	1823.38043478261	1620.67391304348	2175.36956521739	3507.69565217391	2472.5652173913	2160.4347826087	2229.10869565217	3574.73913043478	2091.59782608696	1975.86956521739	2678.45652173913	3100.29347826087	2697.88069565217	0.74264533560088
IMPAD1	4655.52173913044	5050.73913043478	5100.17391304348	6080.45652173913	5383.02173913044	4975.67391304348	4783.41304347826	6251.41304347826	4352.30434782609	5255	5749.91304347826	6575.26086956522	4392.48913043478	4795.08695652174	5132.21739130435	6436.10869565217	5206.36956521739	4476.89130434783	5273.30434782609	6967.95652173913	4598.32608695652	4957.36956521739	5275.04347826087	6590.63043478261	5575.54347826087	5252.63043478261	7338.91304347826	4908.41304347826	5163.73913043478	6190.13043478261	4641.10869565217	5092.02173913044	5011.5	5310.82608695652	4142.89130434783	4010.05434782609	4431.63043478261	6026.89130434783	4662.86956521739	4544.63043478261	4514.21739130435	6377.9347826087	4162.47826086957	4783.41304347826	4952.78260869565	5567.17391304348	5238.61904347826	0.396854543060206
