gene.name	gene.regulation
EXOSC9	down-regulated
IPO13	up-regulated
P4HA2	up-regulated
RTKN2	down-regulated
BLM	down-regulated
CLVS1	down-regulated
SUPT16H	down-regulated
TTC7A	up-regulated
BICC1	down-regulated
LRRC8C	down-regulated
TMOD1	down-regulated
SHROOM3	up-regulated
AL023284.4	down-regulated
XDH	down-regulated
SMC4	down-regulated
MXD4	up-regulated
AGPAT4	up-regulated
ATP2B1	down-regulated
PPP2R2C	down-regulated
AC008083.2	down-regulated
DEK	down-regulated
COL4A5	up-regulated
ITGB4	up-regulated
CIP2A	down-regulated
PAQR4	down-regulated
GREM1	down-regulated
IL1R1	up-regulated
MYBL1	down-regulated
C6orf89	up-regulated
C1RL	up-regulated
TRNP1	up-regulated
ACOT7	up-regulated
FAM43A	up-regulated
TOR3A	down-regulated
BIRC5	down-regulated
DSCC1	down-regulated
PTPRM	up-regulated
ASIC2	down-regulated
PASK	down-regulated
ATF6	up-regulated
MVB12B	down-regulated
MN1	down-regulated
CADM1	down-regulated
ST6GAL2	down-regulated
MROH1	up-regulated
CNR1	up-regulated
VSIR	up-regulated
PTK2B	up-regulated
KLHL4	up-regulated
KRT8	up-regulated
NKILA	down-regulated
GSAP	up-regulated
TEX41	down-regulated
WEE1	down-regulated
AGFG2	up-regulated
EDN3	up-regulated
CCNE1	down-regulated
TUBD1	down-regulated
PROCR	up-regulated
TNS4	up-regulated
RECQL4	down-regulated
LRP12	down-regulated
TTK	down-regulated
KIDINS220	up-regulated
ENOX1	up-regulated
SLC7A11	down-regulated
ARID4A	up-regulated
TMEM245	up-regulated
OPA3	up-regulated
PTPN12	up-regulated
OLAH	up-regulated
TNFRSF10D	down-regulated
EXD2	up-regulated
C6orf203	up-regulated
MND1	down-regulated
CDC42BPB	up-regulated
COX10	up-regulated
SNAP25	down-regulated
CTSL	down-regulated
LINC00261	down-regulated
CHEK1	down-regulated
AKT3	down-regulated
DLGAP5	down-regulated
MUC1	up-regulated
CTXN1	down-regulated
PLPP1	up-regulated
TUBA4A	down-regulated
SLC6A6	down-regulated
AC092718.4	down-regulated
NPAS2	down-regulated
AC027237.1	down-regulated
PELI2	down-regulated
MIR1915HG	down-regulated
GBF1	up-regulated
PITPNM2	up-regulated
SLC29A2	up-regulated
NEMP1	down-regulated
BUB1B	down-regulated
FAM20B	down-regulated
KIAA1191	up-regulated
GGT5	up-regulated
CYP2S1	down-regulated
KDM2B	down-regulated
PRIM1	down-regulated
VAV2	down-regulated
ABLIM2	up-regulated
STAT1	up-regulated
MCM7	down-regulated
INTS9	up-regulated
CDH1	up-regulated
SOD2	up-regulated
DOC2B	up-regulated
MMS22L	down-regulated
SPDL1	down-regulated
OAS3	down-regulated
STAT2	up-regulated
KRT8P42	down-regulated
ABHD2	up-regulated
F13B	down-regulated
MUC3A	up-regulated
CCDC34	down-regulated
SYTL2	down-regulated
PHTF1	down-regulated
ATF3	down-regulated
FAM214B	up-regulated
ZNFX1	up-regulated
CYB5R3	up-regulated
OSBP2	down-regulated
PMP22	down-regulated
SOCS3	up-regulated
FAM171A1	down-regulated
CRY2	up-regulated
HECW2	up-regulated
PCNX2	down-regulated
TOP2A	down-regulated
NFIX	down-regulated
USP2	up-regulated
TRAPPC11	up-regulated
SLC39A11	up-regulated
SYNM	down-regulated
DESI1	up-regulated
AC239800.2	down-regulated
ATAD5	down-regulated
RAB3D	up-regulated
THOC2	up-regulated
AC078850.1	up-regulated
MKNK2	up-regulated
ABLIM3	up-regulated
POLA2	down-regulated
UQCC1	up-regulated
MCM8	down-regulated
CXCL5	down-regulated
ANKRD2	up-regulated
GALNT16	down-regulated
TMEM106C	down-regulated
NPC1	up-regulated
TBC1D4	down-regulated
TRMT61B	up-regulated
LAMA3	up-regulated
TEDC2	down-regulated
SLC4A7	down-regulated
AC131649.2	up-regulated
FLRT2	down-regulated
SPARC	down-regulated
UNC5D	down-regulated
NEK2	down-regulated
HEATR5B	up-regulated
TP53INP2	up-regulated
APOL1	up-regulated
SEMA3A	down-regulated
COL4A4	up-regulated
CCND3	down-regulated
AP5M1	up-regulated
GABRQ	down-regulated
ADAMTS7	up-regulated
NKAIN4	down-regulated
SCARA5	up-regulated
DAB2IP	down-regulated
ANXA10	down-regulated
PRPS1	down-regulated
SMPD1	up-regulated
BACE1	up-regulated
NR0B1	down-regulated
PLCB4	up-regulated
BTBD11	up-regulated
CDKN1C	up-regulated
ICA1	down-regulated
CDC25C	down-regulated
STIL	down-regulated
LINC00886	up-regulated
INPP4B	down-regulated
ORC6	down-regulated
BASP1	down-regulated
KRT18	up-regulated
PROS1	up-regulated
ANLN	down-regulated
MRO	up-regulated
CRY1	up-regulated
MNS1	down-regulated
AC092118.1	down-regulated
UBE2E2	up-regulated
MLXIP	up-regulated
FAM107B	down-regulated
ASS1	up-regulated
SCMH1	up-regulated
CRYAB	up-regulated
SFXN3	up-regulated
MSI2	up-regulated
HMGB2	down-regulated
PPP1R3C	up-regulated
CDCA7	down-regulated
LINC00475	up-regulated
PCOLCE2	down-regulated
ALS2CL	up-regulated
CKAP2L	down-regulated
NCAPH	down-regulated
AL121827.2	down-regulated
PXMP4	up-regulated
GSR	down-regulated
ASPH	down-regulated
KIF18B	down-regulated
P3H2	up-regulated
MLKL	up-regulated
IQGAP1	up-regulated
AL354751.1	up-regulated
STRA6	up-regulated
SFRP4	down-regulated
RHOT1	up-regulated
SLC2A14	up-regulated
NFE2L1	up-regulated
SORBS2	up-regulated
TXNDC11	up-regulated
SEMA3F	up-regulated
ACSL3	up-regulated
POLQ	down-regulated
SERPING1	down-regulated
TNFRSF11A	down-regulated
MARCH8	up-regulated
BARD1	down-regulated
TYMS	down-regulated
LIN9	down-regulated
JAK2	up-regulated
RNF219	down-regulated
GLDC	up-regulated
CRLS1	up-regulated
C3orf80	down-regulated
BFAR	up-regulated
GACAT2	down-regulated
C12orf49	up-regulated
ACTC1	down-regulated
ARID5B	up-regulated
CNTN1	down-regulated
RCL1	up-regulated
PXDN	up-regulated
PPL	up-regulated
SUSD3	up-regulated
ZNF704	down-regulated
CBX2	down-regulated
PON2	up-regulated
TMEM50B	up-regulated
CRYZ	up-regulated
GEN1	down-regulated
CPA4	down-regulated
MMD	up-regulated
